X,Y,fid,ObjectID,GlobalID,Site Name,Sample Date,Sample Time,Submitted Date,Freshwater body type,What is the main land use within 50m?,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Can you see any of the following water uses right now? (select all that apply),What aquatic life is there evidence of? (select all that apply),Has there been any rain during the last 24 hours?,Estimate the water flow,Estimate the water level,Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Nitrate (mg/L),Phosphate (mg/L),Water quality - Secchi Tube (Turbidity),Estimate the water colour,feedback_eng,feedback_core,notes,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,icon_url
-0.8476953064,51.81949825,"100","311246",6c7526db-57e6-4d68-aa00-0cdbc9e41f82,Stoke ALL,09/10/2023,10:51:00,09/10/2023 18:10:23,Stream,Urban_residential,,No_algae,"In_on_the_water,Within_1m_of_river_edge,1_5m_from_river_edge",Recreational,,,Fish,,Slow,Average,1-2,<0.2,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status.Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads.These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements.",,,"1","2","1",./0.png
-0.8488204002,51.82080342,"101","311247",2e846a91-fcb3-4787-89c6-424f6dbdb96f,Bear ALL,09/10/2023,11:00:00,09/10/2023 18:10:24,Stream,Industrial_commercial,,No_algae,"In_on_the_water,Within_1m_of_river_edge,1_5m_from_river_edge",Recreational,Outfall_pipe_not_discharging,Public_use_of_bank,,,Steady,Average,3-5,0.5-1,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status.Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads.These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements.",,,"3","1","1",./0.png
-0.8765340038,51.77934799,"102","311584",24f3ca86-be62-4f62-bbc5-1e7dd383d329,Scottsgrove below Stone STW,05/11/2023,15:18:00,05/11/2023 16:06:42,Stream,Mixed_agricultural,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Slow,High,3-5,1-2,<0.02,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","1","1",./0.png
-0.8634818718,51.83278137,"103","311587",fd8576a0-498a-432a-93c0-813b8dce94df,"Fleet Marston, Denham, Pitchcott ALL",07/11/2023,11:49:00,07/11/2023 12:13:39,Stream,Arable_agricultural,,No_algae,No,,"Urban_road_runoff,Agricultural_runoff",,"Plants_below_surface,Plants_emerging_from_water,Floating_plants",,Steady,High,6-10,1-2,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",I originally entered the wrong site name. This has now been corrected,"4","1","1",./0.png
-0.8418093715,51.78248777,"104","311588",ccc3122f-eefb-40f7-bc75-fda4362cb7f6,Scottsgrove above STWs,08/11/2023,11:05:00,08/11/2023 11:39:06,Stream,Mixed_agricultural,,No_algae,Within_1m_of_river_edge,,Agricultural_runoff,Animal_access,,Heavy_prolonged,Steady,High,3-5,2-5,0.05-0.1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","3","1",./0.png
-0.8477216494,51.81957176,"105","311589",11239bae-e37c-4e81-82ed-9340765f0c2c,Stoke ALL,11/11/2023,12:15:00,11/11/2023 12:23:29,Stream,Urban_residential,,No_algae,Within_1m_of_river_edge,Recreational,,,,Light_showers,Steady,Average,1-2,0.2-0.5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"2","2","1",./0.png
-0.8489272974,51.82072507,"106","311590",dc51a7d9-d8b0-4259-bc91-344835020411,Bear All,11/11/2023,12:29:00,11/11/2023 12:42:42,Stream,Industrial_commercial,,No_algae,"In_on_the_water,1_5m_from_river_edge",Recreational,Outfall_pipe_not_discharging,,,Light_showers,Steady,High,3-5,0.5-1,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","3","1",./0.png
-0.8477804475,51.81951499,"107","311778",1060dab9-a8f6-464b-ac37-b955fe7644fc,Stoke ALL,07/12/2023,12:13:00,07/12/2023 12:19:25,Stream,Urban_residential,Foam,No_algae,1_5m_from_river_edge,Recreational,,,,Light_showers,Steady,High,1-2,0.2-0.5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"2","2","1",./0.png
-0.8484068352,51.82064117,"108","311779",0f6dae40-1d13-48bf-ad17-0354d4e3a92f,Bear ALL,07/12/2023,12:24:00,07/12/2023 12:30:06,Stream,Industrial_commercial,,No_algae,"In_on_the_water,Within_1m_of_river_edge",Recreational,Outfall_pipe_currently_discharging,,,Light_showers,Steady,High,11-15,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","3","1",./0.png
-0.922882235,51.83313446,"109","311898",5e403590-6c32-487a-b7c2-8619f82b4836,#Moors Close Ditch,14/12/2023,11:53:00,14/12/2023 14:41:33,River,Mixed_agricultural,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Steady,Average,1-2,0.5-1,0.05-0.1,25_NTU,Yellow,"Your dataset indicates that this waterbody has a poor ecological status. Elevated turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This elevated turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This elevated turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","3","6",./0.png
-0.9428491743,51.82999006,"110","311900",2d4119e0-5aed-4080-ae55-d16c3fce2de1,#Flint House River,14/12/2023,13:27:00,14/12/2023 15:20:19,Pond,Mixed_agricultural,,No_algae,No,,"Agricultural_runoff,Urban_road_runoff",,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Still,Low,11-15,0.5-1,0.1-0.2,25_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","4","6",./0.png
-0.9379409917,51.80166013,"111","311945",cce423ef-dda9-455e-bbbb-263bc99b785e,Nether Winchendon Footbridge,06/01/2024,12:41:00,06/01/2024 13:02:09,River,Grassland_shrub,Foam,No_algae,No,,Agricultural_runoff,,Plants_emerging_from_water,Heavy_prolonged,Surging,High,11-15,0.5-1,<0.02,100_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Heavy rainfall has led to significant flooding of adjacent fields, water still bursting the banks and flowing into the fields","3","1","12",./0.png
-0.9588833956,51.75832585,"112","312528",4328a9f3-34a6-4288-b953-0931cd26d95f,Scottsgrove All,03/02/2024,08:33:00,03/02/2024 08:49:44,Stream,Grassland_shrub,Foam,No_algae,1_5m_from_river_edge,Bin,,Public_use_of_bank,"Plants_emerging_from_water,Plants_below_surface",,Steady,Average,3-5,2-5,0.2-0.5,35_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","5","8",./0.png
-0.9379809817,51.80171747,"113","312541",d7f6cb62-942d-4a30-8742-547e242be4b0,Nether Winchendon Footbridge,03/02/2024,10:30:00,03/02/2024 10:39:33,River,Grassland_shrub,Foam,No_algae,In_on_the_water,Recreational,Agricultural_runoff,Animal_access,Plants_emerging_from_water,Light_showers,Steady,Average,11-15,0.5-1,<0.02,21_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This elevated turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This elevated turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Adjacent fields grazed with livestock but not at time of survey, arable fields in local area including upstream of survey site may contribute to turbidity.","3","1","5",./0.png
-0.8766222652,51.77944439,"114","312547",76150860-1d10-4e04-8b00-d2880b7c6659,Scottsgrove below Stone STW,03/02/2024,10:53:00,03/02/2024 11:40:20,Stream,Mixed_agricultural,Foam,Floating_mats,No,,"Agricultural_runoff,Urban_road_runoff",,"Plants_below_surface,Plants_emerging_from_water",,Steady,Average,3-5,0.5-1,0.05-0.1,<14_NTU,Colourless,Your dataset indicates that this waterbody has a good ecological status. Floating algal mats limit the penetration of sunlight into the waterbody. This restricts the available habitats for the organisms in the waterbody. The presence of cyanobacteria (blue green scum) indicates high nutrient loading and is a potential health hazard to people and animals. ,Your dataset indicates that this waterbody has a good ecological status. Floating algal mats limit the penetration of sunlight into the waterbody. This restricts the available habitats for the organisms in the waterbody. The presence of cyanobacteria (blue green scum) indicates high nutrient loading and is a potential health hazard to people and animals. ,,"3","3","1",./0.png
-0.9654916667,51.78162833,"115","312548",380c6575-ba15-460a-bc6b-39d65bcf5e25,Dorton Waddesdon Chearsley all,03/02/2024,09:42:00,03/02/2024 11:48:40,Stream,Livestock,,No_algae,No,,Agricultural_runoff,,,,Steady,High,3-5,2-5,0.02-0.05,15_NTU,Colourless,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Otter sprait found about 30m from sampling point,"5","2","2",./0.png
-0.9318109913,51.80153425,"116","312549",683e50ac-7a5b-4f95-b043-ef5a04b4fae7,Mid Thame below cuddington stw,03/02/2024,12:39:00,03/02/2024 13:12:46,River,Mixed_agricultural,,No_algae,No,,,,,,Steady,High,6-10,5-10,0.05-0.1,17_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",The stw was releasing storm overflows last weekend but stopped on Tuesday,"6","3","3",./0.png
-0.9659378881,51.81144988,"117","312550",92641053-6e3b-4c5f-840c-fee51162b12e,Waddesdon all,03/02/2024,13:03:00,03/02/2024 13:13:21,Stream,Mixed_agricultural,,No_algae,Within_1m_of_river_edge,,,,,,Steady,High,1-2,5-10,<0.02,30_NTU,Grey,"Your dataset indicates that this waterbody has a poor ecological status. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Turbidity values are also elevated and may lead to additional negative effects such as reduced light availability for aquatic biota and favours eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","1","7",./0.png
-0.8418594114,51.78243543,"118","312555",e22d35ed-2cb7-4c75-88ab-f3f5ab11c5a0,Scottsgrove above STWs,03/02/2024,14:18:00,03/02/2024 14:47:38,Ditch,Mixed_agricultural,,No_algae,1_5m_from_river_edge,,Agricultural_runoff,,Aquatic_mammals,,Surging,High,3-5,2-5,0.02-0.05,<14_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","2","1",./0.png
-0.8634449076,51.83280014,"119","312559",e009bc59-365c-4d46-b864-e66ef18a7fd8,"Fleet Marston, Denham, Pitchcott ALL",04/02/2024,10:36:00,04/02/2024 10:40:02,Stream,Livestock,Oily_sheen,No_algae,"In_on_the_water,Within_1m_of_river_edge,1_5m_from_river_edge",Recreational,"Urban_road_runoff,Agricultural_runoff,Outfall_pipe_not_discharging",Animal_access,Plants_emerging_from_water,,Slow,Low,3-5,1-2,0.1-0.2,21_NTU,Brown,"Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a moderate ecological status. Moderate turbidity levels can impair aquatic biodiversity by reducing the light available to underwater biota. This moderate turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) could have an impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","5",./0.png
-0.91817403,51.73737841,"120","306161",fe114b43-4fd2-453e-a2e2-6888ced9de3a,Kingsey Cuttle below Chinnor STW,05/11/2022,11:30:00,05/11/2022 14:28:59,Stream,Forest,,No_algae,No,,,Animal_access,"Plants_below_surface,Plants_emerging_from_water",Light_showers,Steady,Average,3-5,2-5,0.2-0.5,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","5","1",./0.png
-0.9853083082,51.74415976,"121","306164",ef665306-f56a-4ce3-a631-c8d7a801bfd5,Cuttle ALL,05/11/2022,15:20:00,05/11/2022 15:40:43,Stream,Grassland_shrub,,No_algae,No,Recreational,Agricultural_runoff,,Plants_emerging_from_water,Light_showers,Slow,Low,3-5,5-10,0.05-0.1,<14_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Light colour only,"6","3","1",./0.png
-0.9850151092,51.74432647,"122","306180",f2a52335-187c-4b97-bda3-1b2b4ca539a3,Cuttle ALL,03/12/2022,10:41:00,03/12/2022 10:47:42,Stream,Grassland_shrub,,No_algae,No,Bin,"Urban_road_runoff,Agricultural_runoff","Public_use_of_bank,Animal_access",Plants_emerging_from_water,,Slow,Average,3-5,1-2,0.05-0.1,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Little egret perched in bankside tree.,"4","3","1",./0.png
-0.91815062,51.73738276,"123","306189",65dc1967-2dd0-4c84-b6a9-e9eb7f70b020,Kingsey Cuttle below Chinnor STW,03/12/2022,10:35:00,03/12/2022 12:02:01,Stream,Forest,,No_algae,No,,,"Animal_access,Public_use_of_bank","Plants_below_surface,Plants_emerging_from_water",Light_showers,Steady,Average,3-5,5-10,0.2-0.5,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Elevated nitrate and phosphate concentrations indicate high nutrient loading from the surrounding catchment, creating conditions of eutrophication. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","5","1",./0.png
-0.9853792191,51.7442036,"124","306229",6573d160-0583-4795-8045-bd07d71013ec,Cuttle ALL,07/01/2023,15:08:00,07/01/2023 15:23:37,River,Grassland_shrub,,No_algae,No,"Bin,Recreational","Urban_road_runoff,Agricultural_runoff",Public_use_of_bank,,Heavy_prolonged,Steady,Average,3-5,1-2,0.05-0.1,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Raining at the time of the survey so difficult to see below the surface.,"4","3","1",./0.png
-0.95298173,51.731829,"125","306237",32f1fc47-8907-4aaa-b2dd-bd913583be12,Chinnor ALL,07/01/2023,15:35:00,07/01/2023 19:47:47,Stream,Livestock,Foam,Blue_green_scum,1_5m_from_river_edge,Fly_tipping,Urban_road_runoff,,,Heavy_prolonged,Steady,Average,1-2,2-5,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. The presence of cyanobacteria (blue green scum) indicates high nutrient loading and is a potential health hazard to people and animals. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. The presence of cyanobacteria (blue green scum) indicates high nutrient loading and is a potential health hazard to people and animals. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"5","1","1",./0.png
-0.9181613621,51.73738574,"126","306238",94275f3f-2446-4d4c-8217-19e9882fcfa4,Kingsey Cuttle below Chinnor STW,08/01/2023,11:05:00,08/01/2023 12:18:30,Stream,Livestock,,No_algae,No,,"Outfall_pipe_currently_discharging,Agricultural_runoff",Animal_access,Plants_below_surface,Light_showers,Steady,High,6-10,5-10,0.1-0.2,<14_NTU,Yellow,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"6","4","1",./0.png
